date,Interest
2023-08-31,54
2023-09-01,54
2023-09-02,54
2023-09-03,41
2023-09-04,41
2023-09-05,41
2023-09-06,41
2023-09-07,41
2023-09-08,41
2023-09-09,41
2023-09-10,41
2023-09-11,41
2023-09-12,41
2023-09-13,41
2023-09-14,41
2023-09-15,41
2023-09-16,41
2023-09-17,43
2023-09-18,43
2023-09-19,43
2023-09-20,43
2023-09-21,43
2023-09-22,43
2023-09-23,43
2023-09-24,37
2023-09-25,37
2023-09-26,37
2023-09-27,37
2023-09-28,37
2023-09-29,37
2023-09-30,37
2023-10-01,44
2023-10-02,44
2023-10-03,44
2023-10-04,44
2023-10-05,44
2023-10-06,44
2023-10-07,44
2023-10-08,33
2023-10-09,33
2023-10-10,33
2023-10-11,33
2023-10-12,33
2023-10-13,33
2023-10-14,33
2023-10-15,24
2023-10-16,24
2023-10-17,24
2023-10-18,24
2023-10-19,24
2023-10-20,24
2023-10-21,24
2023-10-22,45
2023-10-23,45
2023-10-24,45
2023-10-25,45
2023-10-26,45
2023-10-27,45
2023-10-28,45
2023-10-29,46
2023-10-30,46
2023-10-31,46
2023-11-01,46
2023-11-02,46
2023-11-03,46
2023-11-04,46
2023-11-05,33
2023-11-06,33
2023-11-07,33
2023-11-08,33
2023-11-09,33
2023-11-10,33
2023-11-11,33
2023-11-12,30
2023-11-13,30
2023-11-14,30
2023-11-15,30
2023-11-16,30
2023-11-17,30
2023-11-18,30
2023-11-19,39
2023-11-20,39
2023-11-21,39
2023-11-22,39
2023-11-23,39
2023-11-24,39
2023-11-25,39
2023-11-26,29
2023-11-27,29
2023-11-28,29
2023-11-29,29
2023-11-30,29
2023-12-01,29
2023-12-02,29
2023-12-03,28
2023-12-04,28
2023-12-05,28
2023-12-06,28
2023-12-07,28
2023-12-08,28
2023-12-09,28
2023-12-10,44
2023-12-11,44
2023-12-12,44
2023-12-13,44
2023-12-14,44
2023-12-15,44
2023-12-16,44
2023-12-17,39
2023-12-18,39
2023-12-19,39
2023-12-20,39
2023-12-21,39
2023-12-22,39
2023-12-23,39
2023-12-24,31
2023-12-25,31
2023-12-26,31
2023-12-27,31
2023-12-28,31
2023-12-29,31
2023-12-30,31
2023-12-31,24
2024-01-01,24
2024-01-02,24
2024-01-03,24
2024-01-04,24
2024-01-05,24
2024-01-06,24
2024-01-07,51
2024-01-08,51
2024-01-09,51
2024-01-10,51
2024-01-11,51
2024-01-12,51
2024-01-13,51
2024-01-14,37
2024-01-15,37
2024-01-16,37
2024-01-17,37
2024-01-18,37
2024-01-19,37
2024-01-20,37
2024-01-21,55
2024-01-22,55
2024-01-23,55
2024-01-24,55
2024-01-25,55
2024-01-26,55
2024-01-27,55
2024-01-28,62
2024-01-29,62
2024-01-30,62
2024-01-31,62
2024-02-01,62
2024-02-02,62
2024-02-03,62
2024-02-04,40
2024-02-05,40
2024-02-06,40
2024-02-07,40
2024-02-08,40
2024-02-09,40
2024-02-10,40
2024-02-11,65
2024-02-12,65
2024-02-13,65
2024-02-14,65
2024-02-15,65
2024-02-16,65
2024-02-17,65
2024-02-18,55
2024-02-19,55
2024-02-20,55
2024-02-21,55
2024-02-22,55
2024-02-23,55
2024-02-24,55
2024-02-25,42
2024-02-26,42
2024-02-27,42
2024-02-28,42
2024-02-29,42
2024-03-01,42
2024-03-02,42
2024-03-03,38
2024-03-04,38
2024-03-05,38
2024-03-06,38
2024-03-07,38
2024-03-08,38
2024-03-09,38
2024-03-10,56
2024-03-11,56
2024-03-12,56
2024-03-13,56
2024-03-14,56
2024-03-15,56
2024-03-16,56
2024-03-17,42
2024-03-18,42
2024-03-19,42
2024-03-20,42
2024-03-21,42
2024-03-22,42
2024-03-23,42
2024-03-24,37
2024-03-25,37
2024-03-26,37
2024-03-27,37
2024-03-28,37
2024-03-29,37
2024-03-30,37
2024-03-31,57
2024-04-01,57
2024-04-02,57
2024-04-03,57
2024-04-04,57
2024-04-05,57
2024-04-06,57
2024-04-07,44
2024-04-08,44
2024-04-09,44
2024-04-10,44
2024-04-11,44
2024-04-12,44
2024-04-13,44
2024-04-14,45
2024-04-15,45
2024-04-16,45
2024-04-17,45
2024-04-18,45
2024-04-19,45
2024-04-20,45
2024-04-21,42
2024-04-22,42
2024-04-23,42
2024-04-24,42
2024-04-25,42
2024-04-26,42
2024-04-27,42
2024-04-28,58
2024-04-29,58
2024-04-30,58
2024-05-01,58
2024-05-02,58
2024-05-03,58
2024-05-04,58
2024-05-05,38
2024-05-06,38
2024-05-07,38
2024-05-08,38
2024-05-09,38
2024-05-10,38
2024-05-11,38
2024-05-12,49
2024-05-13,49
2024-05-14,49
2024-05-15,49
2024-05-16,49
2024-05-17,49
2024-05-18,49
2024-05-19,53
2024-05-20,53
2024-05-21,53
2024-05-22,53
2024-05-23,53
2024-05-24,53
2024-05-25,53
2024-05-26,53
2024-05-27,53
2024-05-28,53
2024-05-29,53
2024-05-30,53
2024-05-31,53
2024-06-01,53
2024-06-02,46
2024-06-03,46
2024-06-04,46
